ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
181806;0,0125;0,8375;1971,789286;0,048309179;0,29468599;0,095890411;0,057971014;8,75;4,474074074;0,1;0,7625;0,125;0;0,0125
181810;0,017857143;0,955357143;1983,465438;0,022058824;0,235294118;0,135802469;0,011029412;8,93;4,535545024;0;0,9375;0,0625;0;0
181811;0,013888889;0,972222222;1980,883929;0,033519553;0,407821229;0,192982456;0,044692737;4,17;4,75;0,027777778;0,875;0,083333333;0;0
181814;0;0,87755102;1980,599448;0,023809524;0,323129252;0,058333333;0,013605442;7,14;4,305555556;0,020408163;0,908163265;0,051020408;0,020408163;0
181817;0,039106145;0,916201117;1961,341935;0,034042553;0,195744681;0,106145251;0,027659574;7,26;4,095709571;0,055865922;0,737430168;0,173184358;0,011173184;0,005586592
181818;0,020491803;0,954918033;1980,13449;0,022375215;0,271944923;0,081712062;0,04130809;3,455;4,860566449;0,020491803;0,864754098;0,102459016;0;0
181819;0,005952381;0,976190476;1969,254545;0,034313725;0,362745098;0,191780822;0,036764706;6,25;4,063400576;0,029761905;0,922619048;0,041666667;0,005952381;0
181820;0,006711409;0,906040268;1969,994269;0,032432432;0,27027027;0,184;0,051351351;5,61;4,526946108;0,046979866;0,771812081;0,161073826;0,013422819;0
181821;0,020933977;0,858064516;1978,848095;0,040863981;0,218914186;0,089903181;0,056625803;4,25;4,456862745;0,072463768;0,811594203;0,103059581;0,011272142;0
181901;0,094594595;0,858108108;1958,750923;0,040302267;0,277078086;0,181034483;0,01511335;10,81;4,600806452;0,162162162;0,709459459;0,087837838;0,013513514;0
181902;0;0,911111111;1971,753425;0,038626609;0,283261803;0,169014085;0,017167382;6,67;4,344186047;0;0,777777778;0,211111111;0;0
181904;0,03649635;0,905109489;1961,456587;0,049350649;0,187012987;0,025316456;0,012987013;5,84;4,314199396;0,02189781;0,861313869;0,094890511;0,00729927;0
181905;0,039473684;0,868421053;1964,040179;0,022857143;0,245714286;0,044117647;0,022857143;10,53;4,54954955;0,092105263;0,736842105;0,013157895;0,092105263;0
181906;0,012345679;0,790123457;1966,748603;0,028037383;0,242990654;0,181818182;0,023364486;9,88;4,271186441;0,172839506;0,777777778;0,024691358;0;0
181908;0,020689655;0,931034483;1971,389085;0,024324324;0,272972973;0,07079646;0,037837838;6,9;4,588028169;0,110344828;0,75862069;0,089655172;0,006896552;0
181913;0,028368794;0,936170213;1975,848513;0,009929078;0,35177305;0,166666667;0,028368794;3,55;4,481624758;0,042553191;0,907801418;0,031914894;0,003546099;0
181914;0,148425787;0,740573152;1977,771277;0,042648709;0,181257015;0,115523466;0,076318743;6,15;4,846883469;0,370314843;0,328335832;0,125937031;0,139430285;0
181917;0,09352518;0,833333333;1977,252232;0,022038567;0,201101928;0,082758621;0,022038567;13,67;4,196261682;0,136690647;0,625899281;0,079136691;0,071942446;0
181918;0,038461538;0,903846154;1975,889571;0,029577465;0,274647887;0,174074074;0,029577465;11,5;4,345211581;0,061538462;0,796153846;0,084615385;0,015384615;0
181919;0,037974684;0,860759494;1982,836111;0,027777778;0,288888889;0,035087719;0,022222222;4,08;4,123595506;0,037974684;0,924050633;0,037974684;0;0
